NHOOD,Latitude,Longitude
Bayview Hunters Point,37.7257306,-122.3977347
Bernal Heights,37.740437,-122.4283503
Castro/Upper Market,37.7465286,-122.4706868
Chinatown,37.7940949,-122.4115197
Excelsior,37.7241506,-122.4297216
Financial District/South Beach,37.7863842,-122.4042494
Glen Park,37.7379182,-122.436492
Inner Richmond,37.7809707,-122.4713955
Golden Gate Park,37.769425,-122.4884078
Haight Ashbury,37.7700021,-122.4492284
Hayes Valley,37.7747213,-122.4297205
Inner Sunset,37.7575425,-122.47308
Japantown,37.7856162,-122.4317344
McLaren Park,37.721527,-122.4228013
Tenderloin,37.783938,-122.4174405
Lakeshore,37.7193705,-122.5071608
Lincoln Park,37.7828402,-122.5138121
Lone Mountain,37.778353,-122.4570549
Marina,37.8038516,-122.4462507
Russian Hill,37.8008573,-122.4203424
Mission,37.7599213,-122.425623
Mission Bay,37.7714725,-122.3993144
Nob Hill,37.7929521,-122.4205002
Seacliff,37.782879,-122.5081038
Noe Valley,37.7490722,-122.4432536
North Beach,37.8047288,-122.4169726
Oceanview/Merced/Ingleside,37.7196319,-122.4688269
South of Market,37.7808483,-122.4199707
Sunset/Parkside,37.7500719,-122.5016181
Outer Mission,37.7221232,-122.4611877
Outer Richmond,37.779509,-122.5036398
Pacific Heights,37.7924448,-122.4437707
Portola,37.7270881,-122.4207989
Potrero Hill,37.7582827,-122.4014102
Presidio,37.7990025,-122.474963
Presidio Heights,37.7887003,-122.4575515
Treasure Island,37.8201654,-122.3777633
Twin Peaks,37.7532677,-122.4600595
Visitacion Valley,37.716254,-122.4230612
West of Twin Peaks,37.7380721,-122.4744001
Western Addition,37.7816864,-122.4423658
